file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Users\danie\Documents\GitHub\lab2_top1000\lab2\data\repos\JimuReport\jimureport-example\src\main\java\com\jeecg\modules\jmreport\config\CustomLoginSuccessHandler.java,com.jeecg.modules.jmreport.config.CustomLoginSuccessHandler,class,5,6,1,5,1,2,0,3,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,2,0,1,0,1,0,0,0,0,18,1,0
C:\Users\danie\Documents\GitHub\lab2_top1000\lab2\data\repos\JimuReport\jimureport-example\src\main\java\com\jeecg\modules\JimuReportApplication.java,com.jeecg.modules.JimuReportApplication,class,6,7,1,6,2,1,0,5,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,13,0,4,2,4,0,0,0,0,21,1,0
C:\Users\danie\Documents\GitHub\lab2_top1000\lab2\data\repos\JimuReport\jimureport-example\src\main\java\com\jeecg\modules\jmreport\config\CustomCorsConfiguration.java,com.jeecg.modules.jmreport.config.CustomCorsConfiguration,class,3,3,0,3,1,1,0,6,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,8,0,0,0,0,0,0,0,0,11,1,0
C:\Users\danie\Documents\GitHub\lab2_top1000\lab2\data\repos\JimuReport\jimureport-example\src\main\java\com\jeecg\modules\jmreport\config\ViewPageCustomAccess.java,com.jeecg.modules.jmreport.config.ViewPageCustomAccess,class,4,4,0,4,6,1,0,6,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,19,4,0,0,0,0,5,0,5,0,5,2,0,0,0,22,1,0
C:\Users\danie\Documents\GitHub\lab2_top1000\lab2\data\repos\JimuReport\jimureport-example\src\main\java\com\jeecg\modules\jmreport\config\JimuReportTokenServiceImpl.java,com.jeecg.modules.jmreport.config.JimuReportTokenServiceImpl,class,4,4,0,4,6,1,0,1,15,0.0,0.0,0.0,6,0,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,23,6,0,0,0,0,8,0,1,0,1,0,0,0,0,28,1,0
C:\Users\danie\Documents\GitHub\lab2_top1000\lab2\data\repos\JimuReport\jimureport-example\src\main\java\com\jeecg\modules\jmreport\config\SpringSecurityConfig.java,com.jeecg.modules.jmreport.config.SpringSecurityConfig,class,6,6,0,6,1,1,0,17,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,23,0,0,0,0,0,0,0,0,34,1,0
C:\Users\danie\Documents\GitHub\lab2_top1000\lab2\data\repos\JimuReport\jimureport-example\src\main\java\com\jeecg\modules\jmreport\testdb\TestRpSpringBean.java,com.jeecg.modules.jmreport.testdb.TestRpSpringBean,class,4,4,0,4,3,1,0,10,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,47,2,0,0,0,0,36,3,10,2,10,1,0,0,0,19,1,2
C:\Users\danie\Documents\GitHub\lab2_top1000\lab2\data\repos\JimuReport\jimureport-example\src\main\java\com\jeecg\modules\jmreport\config\JimuDragExternalServiceImpl.java,com.jeecg.modules.jmreport.config.JimuDragExternalServiceImpl,class,6,6,0,6,4,1,0,0,6,0.0,0.0,0.0,4,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,14,2,0,0,0,0,1,0,2,0,2,0,0,0,0,30,1,0
C:\Users\danie\Documents\GitHub\lab2_top1000\lab2\data\repos\JimuReport\jimureport-example\src\main\java\com\jeecg\modules\jmreport\config\RedisConfig.java,com.jeecg.modules.jmreport.config.RedisConfig,class,5,6,1,5,2,1,0,2,1,0.0,0.0,0.0,2,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,10,2,0,0,0,0,0,0,1,0,1,0,0,0,0,9,1,0
C:\Users\danie\Documents\GitHub\lab2_top1000\lab2\data\repos\JimuReport\jimureport-example\src\main\java\com\jeecg\modules\jmreport\controller\IndexController.java,com.jeecg.modules.jmreport.controller.IndexController,class,5,6,1,5,1,1,0,2,0,1.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,7,1,0,0,0,0,4,0,1,0,1,0,0,0,0,7,1,0
